ANNO;MESE;VALORE;DUE_DEV_STANDARD;NUMERO_DATI
1988;1;11.4;2.2;31
1988;2;11.4;2.4;29
1988;3;12.8;3.1;31
1988;4;17;3.1;30
1988;5;21.3;2.7;31
1988;6;NA;NA;NA
1988;7;NA;NA;NA
1988;8;31;3.1;31
1988;9;26.1;3.4;30
1988;10;22.3;3.5;31
1988;11;12.5;3.7;30
1988;12;10.3;3.9;31
1989;1;11;2.4;31
1989;2;13.5;2.1;28
1989;3;17.5;3.3;31
1989;4;16.7;2.8;30
1989;5;21.6;3.1;31
1989;6;24.6;2.5;30
1989;7;28.7;2.9;31
1989;8;30.5;3.1;31
1989;9;24;2.6;30
1989;10;18.9;2.4;31
1989;11;13.1;3.4;30
1989;12;11;3.5;31
1990;1;10.3;3;31
1990;2;14.9;3.1;28
1990;3;14.7;3;31
1990;4;14.1;2.9;30
1990;5;22.1;2.4;31
1990;6;26.1;3.5;30
1990;7;29.9;2.9;31
1990;8;29.2;1.9;31
1990;9;25;1.5;30
1990;10;19.7;3.6;31
1990;11;13;2.7;30
1990;12;7.5;2.6;31
1991;1;10.4;2;31
1991;2;10.1;4.8;28
1991;3;16.4;3.2;31
1991;4;14.3;3.7;30
1991;5;17;3.9;31
1991;6;25;3.5;30
1991;7;30.9;2.1;31
1991;8;31.4;1.9;31
1991;9;26.6;1.8;30
1991;10;17.9;4.2;31
1991;11;12.8;2.5;30
1991;12;8.9;2.8;31
1992;1;10.8;2.7;30
1992;2;12.6;3;29
1992;3;14.4;2.9;31
1992;4;17.1;3.7;30
1992;5;24.1;3;31
1992;6;24.3;2.8;30
1992;7;29.3;4.1;31
1992;8;32.8;2.3;31
1992;9;27.2;2.7;30
1992;10;19.3;2.6;31
1992;11;15.8;3;30
1992;12;10.6;2.7;31
1993;1;10.6;3.4;31
1993;2;12.1;3.8;28
1993;3;13.1;4.4;31
1993;4;17.4;3.3;30
1993;5;23.7;3.1;31
1993;6;28;2.7;30
1993;7;29.8;2.8;31
1993;8;32.8;3.7;31
1993;9;25.3;3.4;30
1993;10;18.3;3;31
1993;11;11.9;4;30
1993;12;11.9;2.8;31
1994;1;11.2;2.4;31
1994;2;11.6;3.3;28
1994;3;17.4;2;31
1994;4;15.6;3.9;30
1994;5;22.8;3.7;31
1994;6;26.2;3.7;30
1994;7;31.9;1.8;31
1994;8;33.3;2.4;31
1994;9;26.8;3.7;30
1994;10;20.8;2.9;31
1994;11;16.7;2.5;30
1994;12;11.9;3;31
1995;1;9.6;3.5;31
1995;2;13.9;2;28
1995;3;13.1;2.6;31
1995;4;15.6;3.9;30
1995;5;20.6;3.4;31
1995;6;24.7;3.7;30
1995;7;31.4;2.5;31
1995;8;27.5;3.9;31
1995;9;22.3;2.5;30
1995;10;21.1;1.8;31
1995;11;13.6;3.2;30
1995;12;10.9;2.6;31
1996;1;10.6;2.2;31
1996;2;9.3;2.7;29
1996;3;12.1;2.8;31
1996;4;17.7;3;30
1996;5;21.3;3;31
1996;6;27.3;3.2;30
1996;7;29.9;2.6;31
1996;8;29.4;3;31
1996;9;21.9;2;30
1996;10;18.3;2.2;31
1996;11;14.5;4.4;30
1996;12;9.7;4.5;31
1997;1;11.9;2.6;31
1997;2;12.7;1.8;28
1997;3;16.4;2.3;31
1997;4;15.4;2.8;30
1997;5;23.1;3.6;31
1997;6;27;3.2;30
1997;7;29.9;2.2;31
1997;8;30.2;2.3;31
1997;9;27.6;3.3;30
1997;10;20.3;5.6;31
1997;11;14.2;3.4;30
1997;12;11.5;2.4;31
1998;1;11.1;2.5;31
1998;2;14.1;3.4;28
1998;3;14;3.9;31
1998;4;17;3;29
1998;5;22.6;3.2;31
1998;6;28.2;4.2;30
1998;7;31.4;3.2;31
1998;8;32.1;3.4;31
1998;9;24.7;3.4;29
1998;10;19.3;1.3;31
1998;11;12.6;4.7;30
1998;12;9.2;2.7;31
1999;1;10.9;3.4;31
1999;2;10.2;3.8;28
1999;3;14.5;3.7;31
1999;4;17.3;2.9;29
1999;5;24;2.7;29
1999;6;29.2;2.2;29
1999;7;30.2;2.9;31
1999;8;32.4;2.3;27
1999;9;26.8;2.3;29
1999;10;21.2;3.1;28
1999;11;14.3;3.6;28
1999;12;11.1;3;29
2000;1;9.9;2.6;30
2000;2;13.2;1.8;24
2000;3;NA;NA;NA
2000;4;NA;NA;NA
2000;5;NA;NA;NA
2000;6;NA;NA;NA
2000;7;NA;NA;NA
2000;8;NA;NA;NA
2000;9;NA;NA;NA
2000;10;NA;NA;NA
2000;11;NA;NA;NA
2000;12;NA;NA;NA
2001;1;NA;NA;NA
2001;2;11.3;3.6;22
2001;3;NA;NA;NA
2001;4;NA;NA;NA
2001;5;NA;NA;NA
2001;6;NA;NA;NA
2001;7;NA;NA;NA
2001;8;NA;NA;NA
2001;9;NA;NA;NA
2001;10;NA;NA;NA
2001;11;NA;NA;NA
2001;12;NA;NA;NA
2002;1;NA;NA;NA
2002;2;NA;NA;NA
2002;3;NA;NA;NA
2002;4;NA;NA;NA
2002;5;NA;NA;NA
2002;6;NA;NA;NA
2002;7;NA;NA;NA
2002;8;NA;NA;NA
2002;9;NA;NA;NA
2002;10;NA;NA;NA
2002;11;NA;NA;NA
2002;12;NA;NA;NA
2003;1;NA;NA;NA
2003;2;NA;NA;NA
2003;3;NA;NA;NA
2003;4;NA;NA;NA
2003;5;NA;NA;NA
2003;6;NA;NA;NA
2003;7;NA;NA;NA
2003;8;NA;NA;NA
2003;9;NA;NA;NA
2003;10;NA;NA;NA
2003;11;NA;NA;NA
2003;12;NA;NA;NA
2004;1;8.6;3.7;31
2004;2;11.5;2.3;29
2004;3;12.7;4.3;31
2004;4;16.5;3.3;30
2004;5;20.4;2.8;31
2004;6;27.2;3.5;30
2004;7;31.9;2.9;31
2004;8;31;1.8;31
2004;9;26.8;4.1;30
2004;10;22.4;2.9;31
2004;11;14.4;4.8;30
2004;12;11.9;3.3;31
2005;1;8.9;4.1;31
2005;2;8.4;2.8;28
2005;3;14.2;5.5;31
2005;4;17.3;3.9;30
2005;5;25;3.3;31
2005;6;28.5;4.9;30
2005;7;31.6;3.5;31
2005;8;28.2;2.8;31
2005;9;25.3;3.2;30
2005;10;19.9;2.5;31
2005;11;14.3;4.6;30
2005;12;9.5;2.3;31
2006;1;8.6;2.8;31
2006;2;11.1;3.2;28
2006;3;12.8;3.5;31
2006;4;18.6;2.1;30
2006;5;23.6;3.1;31
2006;6;27.2;5.5;30
2006;7;32.7;2.2;31
2006;8;28.5;2.5;31
2006;9;27;3.6;30
2006;10;22.9;2.3;31
2006;11;16.8;2.5;30
2006;12;13.1;2.6;31
2007;1;13.1;2.7;31
2007;2;14.1;2;28
2007;3;15.6;3.5;31
2007;4;22.1;3.1;30
2007;5;24.5;4;31
2007;6;27.2;6.3;30
2007;7;32.3;3.1;31
2007;8;30.6;3;31
2007;9;26.2;2.8;30
2007;10;21;5.3;31
2007;11;14;3.9;30
2007;12;9.8;2.9;30
2008;1;11.5;2.9;31
2008;2;12.4;2.9;29
2008;3;14;3.7;31
2008;4;16.9;2.5;30
2008;5;21.8;3.2;31
2008;6;26.1;4.7;30
2008;7;30.6;2.1;31
2008;8;32.6;1.8;31
2008;9;25.5;6.2;30
2008;10;22.1;2.6;31
2008;11;15.6;3.6;30
2008;12;10.2;3;30
2009;1;9.8;2;31
2009;2;10.8;3.2;28
2009;3;14.7;3.3;31
2009;4;19;2.3;30
2009;5;26;3.8;31
2009;6;26.2;3.4;30
2009;7;30.5;2.7;31
2009;8;32.4;2.3;31
2009;9;26.5;2.1;30
2009;10;20;4.3;31
2009;11;16.3;2.6;30
2009;12;10.6;3.8;31
2010;1;8.5;2.3;31
2010;2;10.5;3.8;28
2010;3;13.6;4.1;31
2010;4;18.3;3.4;30
2010;5;20.5;3.2;31
2010;6;25.7;3.5;30
2010;7;31.7;2.6;31
2010;8;29.9;2.5;31
2010;9;25;2.7;30
2010;10;19.2;3.4;31
2010;11;14.9;4;30
2010;12;9.8;4.5;31
2011;1;10.6;3.8;31
2011;2;12.6;3.5;28
2011;3;13.6;3.8;31
2011;4;19.7;3.2;30
2011;5;24.2;3.3;31
2011;6;28.2;2.6;30
2011;7;28.1;2.8;31
2011;8;31.8;2.9;26
2011;9;28.8;3.5;26
2011;10;21.5;4.1;27
2011;11;16.9;2.2;30
2011;12;13.2;3.1;31
2012;1;11.9;2.1;31
2012;2;9.2;6.4;25
2012;3;19.3;3.1;31
2012;4;17.9;3.5;30
2012;5;22.2;3.4;31
2012;6;30.5;4.3;30
2012;7;33.5;2.7;31
2012;8;34.8;2.4;31
2012;9;26.1;3.5;30
2012;10;22.2;4.4;31
2012;11;15.7;2.5;30
2012;12;9.9;3.2;31
2013;1;9.9;3;31
2013;2;8.6;2.7;28
2013;3;12.9;2.8;31
2013;4;18.3;4.2;30
2013;5;19.6;2.4;31
2013;6;27;3.9;30
2013;7;31.1;1.9;31
2013;8;32.1;3.2;31
2013;9;27;2.4;30
2013;10;22.4;1.8;31
2013;11;14.5;4.9;30
2013;12;11.8;2.1;31
2014;1;11.4;2.2;31
2014;2;14;2.5;28
2014;3;15.2;3.6;31
2014;4;18.6;2.5;30
2014;5;21.3;2.8;31
2014;6;27.6;3.8;30
2014;7;27.5;3.4;31
2014;8;28.9;1.4;31
2014;9;25.2;2.1;30
2014;10;22.8;3.5;31
2014;11;17.9;2.2;30
2014;12;12.1;4.3;31
2015;1;11.4;2.8;31
2015;2;11.2;3.1;28
2015;3;13.9;3.4;31
2015;4;18.2;3.6;30
2015;5;23.6;3.6;31
2015;6;28.5;2.1;30
2015;7;34.5;1.7;31
2015;8;31.7;3.3;31
2015;9;26.1;3;30
2015;10;19.8;3.2;31
2015;11;16.2;4.2;30
2015;12;12.8;1.7;31
2016;1;10.8;3.3;31
2016;2;13.6;1.7;29
2016;3;14.6;3.2;31
2016;4;20.1;3.2;30
2016;5;21.2;3;31
2016;6;26.7;4;30
2016;7;31.7;3.3;31
2016;8;30.3;2.4;31
2016;9;26.4;3;30
2016;10;19.7;3.7;31
2016;11;14.7;3.7;29
2016;12;12.2;2.4;29
2017;1;8.9;3.6;27
2017;2;13.7;1.9;28
2017;3;17.4;3.2;31
2017;4;18.8;3;27
2017;5;24.2;2.6;27
2017;6;30;2;30
2017;7;32.1;2.7;30
2017;8;33.7;3.8;29
2017;9;23.8;2.4;26
2017;10;21.8;2.7;27
2017;11;13.6;2.8;25
2017;12;10.3;2.7;23
2018;1;12.9;2.1;25
2018;2;8.8;3.7;24
2018;3;13;3.7;27
2018;4;20.9;3.4;25
2018;5;22.3;3.4;30
2018;6;27.1;1.9;30
2018;7;31.5;1.7;31
2018;8;30.6;2.9;31
2018;9;26.5;2.5;27
2018;10;22.4;2.9;31
2018;11;16.5;2.9;24
2018;12;12;3.9;31
2019;1;9.2;2.8;31
2019;2;13.9;2.6;28
2019;3;17.1;3.1;31
2019;4;17.8;2.9;30
2019;5;18.1;3;27
2019;6;30.5;3.3;30
2019;7;32.3;3.3;31
2019;8;33;1.6;31
2019;9;27.4;2.5;30
2019;10;23.2;2.2;31
2019;11;16.1;2.2;30
2019;12;13.1;2.8;31
2020;1;12.9;1.7;31
2020;2;15.9;2.2;29
2020;3;15;3.3;31
2020;4;19.2;3.1;30
2020;5;23.8;2.5;31
2020;6;26.6;3.2;30
2020;7;31.9;2.5;31
2020;8;32.4;3.3;31
2020;9;26.9;4.9;30
2020;10;19.7;1.8;31
2020;11;16.2;3.2;30
2020;12;12;2.5;31
2021;1;9.9;2.9;31
2021;2;14.5;5.2;24
2021;3;14.4;4.2;31
2021;4;17.1;3.3;30
2021;5;21.6;2.6;31
2021;6;29.3;2.7;30
2021;7;31.7;2.9;31
2021;8;31.7;3.1;31
2021;9;28.5;1.5;30
2021;10;20.1;3.4;31
2021;11;15.5;3.2;30
2021;12;12;2.8;31
2022;1;11.2;2.4;31
2022;2;14;2.6;28
2022;3;14.9;4.3;31
2022;4;17.6;4.2;30
2022;5;26.2;4.2;31
2022;6;32.6;2.8;30
2022;7;34.8;2.4;31
2022;8;32.2;2.7;31
2022;9;25.1;3.4;30
2022;10;22.8;1.5;31
2022;11;15.8;3.3;30
2022;12;13.1;2.3;31
